id,Name,Artists,,started,Address,Notes,Commisioned,District,transform,images,location
m0084,,JERMAINE CLARK,JERMAINE CLARK,9/22/2014,"4338 Grand River Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0084,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0084.jpg,
m0085,,JERMAINE CLARK,JERMAINE CLARK,9/22/2014,"4337 Grand River Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0085,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0085.jpg,
m0086,WORLD PEACE,RENDA WRITER,RENDA WRITER,10/22/2016,"4126 Grand River Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0086,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0086.jpg,
m0087,,"GHOST BEARD,PATCH WHISKY","GHOST BEARD,PATCH WHISKY",9/22/2013,"1798 West Alexandrine Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0087,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0087.jpg,
m0088,MARY ELLEN RIORDAN,NICOLE MACDONALD,NICOLE MACDONALD,12/23/2015,"3437 Cochrane, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0088,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0088.jpg,
m0089,,KATIE CRAIG,KATIE CRAIG,9/22/2008,"2967 East Grand Boulevard, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0089,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0089.jpg,
m0090,,MALT,MALT,11/17/2014,"4264 Woodward Ave, Detroit, MI 48201",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0090,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0090.jpg,
m0091,,KOBIE SOLOMON,KOBIE SOLOMON,11/17/2014,"4265 Woodward Ave, Detroit, MI 48201",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0091,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0091.jpg,
m0092,,FEL3000FT,FEL3000FT,11/17/2014,"4263 Woodward Ave, Detroit, MI 48201",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0092,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0092.jpg,
m0093,,unknown,unknown,4/22/2017,"2460 Cass Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0093,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0093.jpg,
