id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0090,,MALT,11/17/2014,"4264 Woodward Ave, Detroit, MI 48201",,,,https://www.dropbox.com/s/zlfasdjzwiezdjw/m0090.jpg?dl=0,
m0091,,KOBIE SOLOMON,11/17/2014,"4265 Woodward Ave, Detroit, MI 48201",,,,https://www.dropbox.com/s/nz7gntuu7matqge/m0091.jpg?dl=0,
m0092,,FEL3000FT,11/17/2014,"4263 Woodward Ave, Detroit, MI 48201",,,,https://www.dropbox.com/s/8jfhpwg3jllpv8v/m0092.jpg?dl=0,
m0093,,unknown,4/22/2017,"2460 Cass Avenue, Detroit, MI",,,,https://www.dropbox.com/s/hva85yscncau36j/m0093.jpg?dl=0,
m0094,,unknown,7/22/2015,"4231 Third Street, Detroit, MI",,,,https://www.dropbox.com/s/wa0tl407qhox1il/m0094.jpg?dl=0,
m0095,,SWOON,8/22/2016,"14635 East Jefferson, Detroit, MI",,,,https://www.dropbox.com/s/5oda9vdz6bzmtrv/m0095.jpg?dl=0,
m0096,,"CARL OXLEY III] , [ MARK SENGBUSCH] , [ JOHN HICKS] , [ CHAD P. HUNT] , [ GREG FREDERICK] , [ DAVE DANIELSON",7/22/2005,"1001 Lakewood Street, Detroit, MI",Painted by Summer in the City,,4,https://www.dropbox.com/s/s6z8ftunfowu3iq/m0096.jpg?dl=0,
m0097,,"MONICA CANILAO] , [ PAT PERRY] , [ BEN WOLF] , [ NICK MANN] , [ ] , [ OUIZI",9/22/2015,"2099 Rivard Street, Detroit, MI",located In alley,,,"""https://www.dropbox.com/s/9lp8sg9angh077m/m0097.jpg?dl=0"", ""https://www.dropbox.com/s/vdq170fa142dr5s/m0097_2.jpg?dl=0"", ""https://www.dropbox.com/s/vkqwguxod718jd0/m0097_3.jpg?dl=0""",
m0098,,SUMMER IN THE CITY,8/22/2014,"124 Cadillac Square, Detroit, MI",,,,https://www.dropbox.com/s/ilugs9v6uuwt5bc/m0098.jpg?dl=0,
m0099,,unknown,9/1/2016,"5428 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/9l9u5zh5u23q4of/m0099.jpg?dl=0,
m0100,,OUIZI,9/1/2016,"5433 Michigan Ave, Detroit, MI",located in alley,,,https://www.dropbox.com/s/gu5a66xzqck4jmn/m0100.jpg?dl=0,
m0101,,"OUIZI ] , [ MICHELLE TANGUAY",9/22/2017,"1450 Wilkins St, Detroit, MI",,,5,https://www.dropbox.com/s/iznxwhw4lt7g541/m0101.jpg?dl=0,
m0102,,CHARLES MCGEE,7/22/2017,"28 West Grand River Ave, Detroit, MI",located in rear,,,https://www.dropbox.com/s/08vh5p855jgx5h6/m0102.png?dl=0,
